video_name,subject_name,event_index,brain_region,tone_abs_time_s,tone_peak_time_s,tone_peak_amp,lick_peak_time_s,lick_peak_amp,first_lick_time_s
nn5-250203-080636,nn5,2,NAc,1421.13570816,0.4723403886844153,1.8922322549336483,7.845140238147678,0.9124796809836125,6.93993472000011
nn1-250203-085508,nn1,2,NAc,420.00941056,0.8655563806557893,3.1203697265599444,4.699412302376686,2.9552772194355095,4.0
nn3-250203-085508,nn3,2,NAc,420.00941056,0.6689483846701023,3.581932879703349,4.994324296355217,5.202143300365269,4.0
nn6-250203-112333,nn6,2,NAc,490.79926784,0.4723403886844153,4.913533850870965,5.485844286319434,5.382764784705796,4.0
nn7-250203-112333,nn7,2,NAc,1690.80700928,2.8316363405126594,3.5175520890894347,5.289236290333747,5.1869306671747575,4.0
nn4-250203-121223,nn4,2,NAc,493.71774976,0.5706443866772588,6.915131879029091,6.370580268255026,7.5439809469002785,10.08975872000002
nn1-250205-090150,nn1,2,NAc,1691.17089792,3.0282443364983465,2.2843536835999596,4.699412302376686,5.103676820632563,4.0
nn5-250205-104235,nn5,2,NAc,897.35839744,2.2418123525555984,4.610753310525115,5.09262829434806,6.9785245675298,4.0
nn8-250205-104235,nn8,2,NAc,367.35533056,0.4723403886844153,7.4731886255424715,5.289236290333747,5.5100393658852935,4.0
nn7-250205-131504,nn7,2,NAc,321.07053056,1.1604683746343198,5.423632838897641,5.780756280297965,6.9641104479509,4.0
nn6-250204-075106,nn6,2,NAc,514.79003136,2.2418123525555984,2.238134696342224,9.909524195997392,3.226949322089935,6.170214400000077
nn2-250204-085225,nn2,2,NAc,322.69172736,3.2248523324840335,2.046473727048916,4.896020298362373,9.665633631247688,14.260469759999978
nn8-250204-113128,nn8,2,NAc,402.69955072,0.6689483846701023,6.773450586123923,5.09262829434806,11.332453340702328,4.0
nn5-250204-113128,nn5,2,NAc,402.69955072,0.5706443866772588,2.3635614492009807,5.09262829434806,4.840223353816579,4.699750400000028
nn3-250204-122327,nn3,2,NAc,760.70715392,0.5706443866772588,4.884644853147929,4.896020298362373,6.162309570700914,4.0
nn2-250206-053033,nn2,2,NAc,567.91318528,0.3740363906915718,3.5012614190338387,4.699412302376686,5.752347406972194,132.73055232000002
nn6-250206-073116,nn6,2,NAc,321.33955584,0.5706443866772588,7.568039307336027,4.994324296355217,2.9599947756356273,4.0
nn7-250206-073116,nn7,2,NAc,411.34014464,0.3740363906915718,4.065097870854639,4.79771630036953,1.0015558258739763,4.0
nn4-250206-081929,nn4,2,NAc,411.3678336,0.5706443866772588,4.104704903012421,4.896020298362373,5.246939106679505,4.0
nn3-250206-081929,nn3,2,NAc,321.36740864,0.5706443866772588,2.73763676474685,4.699412302376686,4.458943274418122,4.0
nn8-250206-102501,nn8,2,NAc,321.22454016,1.1604683746343198,2.3065173305745263,4.502804306390999,1.4203604599391821,5.799936000000002
n6-240912-062009,n6,2,NAc,321.79863552,1.946900358577068,0.1478987017982845,4.896020298362373,3.0902885307140737,4.0
n7-240912-095235,n7,2,NAc,321.98344704,0.9638603786486328,2.6905483078386214,4.699412302376686,5.036691351369233,4.0
n7-240915-073140,n7,2,NAc,323.3964032,3.2248523324840335,1.446316138257692,4.699412302376686,7.385417329839857,4.0
n6-240914-065650,n6,2,NAc,322.7230208,3.519764326462564,1.6071459563932993,4.896020298362373,2.7441675146482196,4.0
n6-240914-095611,n6,2,NAc,570.34719232,3.4214603284697205,1.5074812772822466,4.994324296355217,3.0460112890512856,4.0
n7-240914-082547,n7,2,NAc,322.53034496,2.0452043565699114,0.9709894205547329,4.896020298362373,9.064323862503842,4.029808639999999
n6-240913-062437,n6,2,NAc,565.92285696,0.5706443866772588,1.2123204513057435,5.09262829434806,1.6236905302945113,4.170055680000019
n7-240913-080108,n7,2,NAc,411.40617216,1.8485963605842244,1.5906809935409796,6.272276270262182,1.9707875587087156,4.0
nn2-250205-113735,nn2,2,NAc,321.35217152,0.5706443866772588,2.03039919935876,5.977364276283652,1.4404611714020603,4.0
nn4-250205-113735,nn4,2,NAc,321.35217152,0.4723403886844153,0.5802670105349353,4.896020298362373,0.24817237022905292,4.0
