Subject,Bout,Behavior,Event_Start,Event_End,Duration (s),AUC,Max Peak,Time of Max Peak,Mean Z-score,Original End,Adjusted End,OG_AUC,OG_Max Peak,OG_Time of Max Peak,OG_Mean Z-score,OG_Original End,OG_Adjusted End
p1,s1-1,Investigation,197.267,225.733,28.466000000000008,19.55499482560468,5.778780997653812,200.41629295167414,2.9141050647102777,225.733,203.97686376046272,16.07755709922912,5.778780997653812,200.41629295167414,0.5647437417261661,225.733,225.733
p1,s1-2,Investigation,384.267,387.4,3.1329999999999814,0.3088633703560418,0.4071447459785193,385.4627558107449,0.20287009388338123,387.4,385.79010812419784,0.31494897494777024,0.4071447459785193,385.4627558107449,0.10055574463352182,387.4,387.4
p1,s1-4,Investigation,767.733,768.333,0.6000000000000227,8.105525184830448,2.4306938116783576,769.346749413065,1.870396174540942,768.333,772.0668210386635,1.1457538848270066,2.145404046435922,768.332252153355,1.9139049662990288,768.333,768.333
p1,s1-5,Investigation,988.267,988.867,0.599999999999909,0.07583235573846628,0.31701658583896025,988.2992442340151,0.20089706769925708,988.867,988.6452743070945,0.07578797349943811,0.31701658583896025,988.2992442340151,0.12664331030296963,988.867,988.867
p1,s1-6,Investigation,1171.667,1173.067,1.400000000000091,0.04321331887806134,0.36167480418472675,1171.6676578466468,0.22433059092686927,1173.067,1171.8603336827932,-0.7030674108909641,0.36167480418472675,1171.6676578466468,-0.5023630004565156,1173.067,1173.067
p1,s2-1,Investigation,1353.2,1361.8,8.599999999999909,9.74782457635879,3.2744604799265424,1355.5914890481702,2.114003271274643,1361.8,1357.811193323776,8.670518517619897,3.2744604799265424,1355.5914890481702,1.0082346605038797,1361.8,1361.8
p2,s1-1,Investigation,197.533,203.467,5.934000000000026,16.416472806442155,6.950704878192878,198.64583794708324,5.252515782894664,203.467,200.65812078683757,16.89041459471472,6.950704878192878,198.64583794708324,2.84641487160727,203.467,203.467
p2,s1-2,Investigation,389.933,392.2,2.266999999999996,1.7001878859223112,1.567691751723776,389.9336216413276,0.8487196200953772,392.2,391.9370571212589,1.806967915952068,1.567691751723776,389.9336216413276,0.7975420377504306,392.2,392.2
p2,s1-3,Investigation,581.867,583.0,1.1330000000000382,3.7479590183169638,1.8032625529473245,582.0009560399809,1.2582597910891895,583.0,584.8458737430825,1.8623544776609473,1.8032625529473245,582.0009560399809,1.6445152572457546,583.0,583.0
p2,s1-4,Investigation,780.6,781.933,1.33299999999997,-0.06434213390481813,0.3125252283776687,782.6836528263269,-0.02777593682785239,781.933,782.9205654615887,-0.2396038554296288,0.1660486593549993,781.8696957226061,-0.179812899052007,781.933,781.933
p2,s1-5,Investigation,973.8,974.4,0.6000000000000227,5.1497364743475895,2.0788506396929165,973.8583869228322,1.404805171626591,974.4,977.4661436506772,1.156076388358548,2.0788506396929165,973.8583869228322,1.9309895246280537,974.4,974.4
p2,s1-6,Investigation,1186.8,1188.933,2.133000000000038,3.0266168017332618,1.163867313767272,1189.3269880534601,0.5659717866020579,1188.933,1192.1473297570535,0.8163261949100592,1.0461917454511545,1188.830552863389,0.3828609149057299,1188.933,1188.933
p2,s2-1,Investigation,1364.667,1378.4,13.733000000000175,6.8847012612474305,1.8649941853717995,1369.8622804427544,0.7048948570804532,1378.4,1374.434399391312,5.195061398700961,1.8649941853717995,1369.8622804427544,0.37827717579175874,1378.4,1378.4
p3,s1-1,Investigation,184.467,187.067,2.5999999999999943,9.961392996413604,4.201035708567762,184.51070606978587,2.213579571332532,187.067,188.9678093406438,7.31770697308017,4.201035708567762,184.51070606978587,2.8154358238142247,187.067,187.067
p3,s1-2,Investigation,380.267,380.533,0.26600000000001955,0.6192735797989963,1.2168234846132933,380.2673895146522,0.735995740076577,380.533,381.10887173782254,0.27614588591199973,1.2168234846132933,380.2673895146522,1.0404770815417494,380.533,380.533
p3,s1-4,Investigation,767.333,767.6,0.26700000000005275,3.0750926442059985,1.3479145564469548,767.7611059247779,0.9827212813261184,767.6,770.46249979075,0.3337711714783001,1.2904054755714292,767.3334835333303,1.2529220779354793,767.6,767.6
p3,s1-5,Investigation,957.2,960.6,3.3999999999999773,6.66958583047063,3.2519386982766956,957.2007744559845,2.1766412231478838,960.6,960.2649100747018,6.988723214700988,3.2519386982766956,957.2007744559845,2.0565015293876527,960.6,960.6
p3,s1-6,Investigation,1168.0,1169.667,1.6669999999999163,5.4352196661284164,1.3730410095828811,1173.2759112544818,0.5268627445123578,1169.667,1178.3149741937004,-1.017283716398842,0.11571519823333346,1169.6661884466762,-0.6108639236594439,1169.667,1169.667
p3,s2-1,Investigation,1353.8,1356.133,2.3330000000000837,3.2944135566854484,1.565270249175431,1357.1771325364573,0.6623882561800536,1356.133,1358.7735894645282,0.538997064094607,0.7999618141095346,1356.1321610373568,0.2313569408754445,1356.133,1356.133
p4,s1-1,Investigation,212.0,215.2,3.1999999999999886,6.465953645039853,2.2818770863549265,212.42412631151748,1.5768800377169847,215.2,216.10069583798608,5.729354912189595,2.2818770863549265,212.42412631151748,1.7909420533110947,215.2,215.2
p4,s1-2,Investigation,400.067,400.533,0.4660000000000082,12.4806102710881,2.3963918370257535,406.34744019305117,1.6088080816240367,400.533,407.82494928350104,0.5807616333037096,1.3096746174316471,400.5327587093448,1.248986520895873,400.533,400.533
p4,s1-3,Investigation,592.533,610.4,17.866999999999962,0.7195100901769257,1.1195695572843263,596.5646933487061,0.15691373320355292,610.4,597.1161787776764,-7.946683374460495,1.1195695572843263,596.5646933487061,-0.44475531060124035,610.4,610.4
p4,s1-4,Investigation,789.267,793.333,4.065999999999917,12.522653999910585,2.6091291977901845,791.4346747313065,1.4845436322920114,793.333,797.7015546059689,5.948726561928092,2.6091291977901845,791.4346747313065,1.4628326349631842,793.333,793.333
p4,s1-5,Investigation,996.667,999.333,2.66599999999994,2.8735796149836093,1.5897123133331952,1000.7848350243033,0.5338144027116676,999.333,1002.0500074789999,-0.4232238132585583,0.9951219904912447,999.3328849733423,-0.15861558358456937,999.333,999.333
p4,s1-6,Investigation,1180.733,1181.867,1.1340000000000146,2.4063006780495653,1.7744727080584177,1181.0006394199872,1.3696612893886129,1181.867,1182.4899449902011,1.8173040321943144,1.7744727080584177,1181.0006394199872,1.6032615720819088,1181.867,1181.867
p4,s1-7,Investigation,1383.4,1392.667,9.266999999999825,9.81715829013465,3.4333569856541315,1385.0345194993097,2.1441416083597264,1392.667,1387.9787242404254,7.890693043898522,3.4333569856541315,1385.0345194993097,0.8515122485837615,1392.667,1392.667
p4,s2-1,Investigation,1580.667,1584.4,3.7330000000001746,1.3326397334951046,1.5822338334674257,1580.6673399066533,1.0041892238832189,1584.4,1581.994443880111,0.24798356416575595,1.5822338334674257,1580.6673399066533,0.0664167631489442,1584.4,1584.4
p5,s1-1,Investigation,187.5,190.3,2.8000000000000114,0.33014331926911233,1.3196227984097821,187.50013064999737,0.8567326154328028,190.3,187.88548232229036,0.3161780165745467,1.3196227984097821,187.50013064999737,0.11307107076111732,190.3,190.3
p5,s1-2,Investigation,394.2,397.3,3.1000000000000227,0.0005350751104052731,0.027702772541570036,394.2000151559997,0.017565286501055558,397.3,394.23048939539024,-2.2576728450177654,0.027702772541570036,394.2000151559997,-0.72822894996706,397.3,397.3
p5,s1-4,Investigation,780.0,780.7,0.7000000000000455,0.2852678639240421,0.5537126706263672,780.3027299939454,0.44554160602871085,780.7,780.6408957471821,0.2938228333992023,0.5537126706263672,780.3027299939454,0.42019268751644495,780.7,780.7
