time_s,brain_region,mouse_identity,zscore_DA,intruder_identity,distance_head_res__head_int,angle_head_res__head_int_deg,distance_head_res__hind_int,angle_head_res__hind_int_deg,distance_head_int__hind_res,angle_head_int__hind_res_deg,distance_hind_res__hind_int,velocity_resident,velocity_intruder,behavior_active
187.1,NAc,n5,2.6372682229991784,Short_Term_1,8.200483592167588,170.75534319426384,11.221353970021465,177.3379605635284,10.286336383450298,153.41089990214908,15.666036227745439,0.1245722554896505,3.3336393467440097,Investigation
187.2,NAc,n5,1.999116495157219,Short_Term_1,7.723295823409966,168.79433047043307,11.287885764198704,171.45666276155856,9.865916098736042,150.68402601764512,15.522599643707244,0.15698083098947074,3.2013915223728273,Investigation
187.3,NAc,n5,1.4923118329171652,Short_Term_1,7.185135793105543,165.6496550849396,11.369892236305645,165.7494581346749,9.435633922380646,146.33759004288038,15.408647090686115,0.20653529586118832,3.087472264266278,Investigation
187.4,NAc,n5,1.8902863756109267,Short_Term_1,6.622266792732529,161.00752730181284,11.415985817009656,159.79320968117162,9.050383588524936,140.59862477109664,15.26667667943892,0.18265994363049806,2.904780198663358,Investigation
187.5,NAc,n5,3.3953055038798903,Short_Term_1,6.099564717652785,155.62449678355398,11.468514330814155,154.2192009135778,8.732417380973713,134.2004376022635,15.13907580159669,0.19296343729728155,2.5435337952623027,Investigation
187.6,NAc,n5,4.999127024925185,Short_Term_1,5.675674388025751,150.7726057365824,11.46722765772413,150.21408174928087,8.50802655837992,128.4579868594971,15.001256180345187,0.6027120205941061,2.1333707830416726,Investigation
187.7,NAc,n5,5.266124843587459,Short_Term_1,5.354654633706647,146.1358365189379,11.47538121848773,147.21284925245996,8.392353339021188,123.21231535422942,14.930708872804143,1.2017835456426533,1.7987198433604237,Investigation
187.8,NAc,n5,4.421106152543289,Short_Term_1,5.14891775313235,144.62629323339164,11.493512116324794,145.11076163162403,8.340923523700829,121.76930690455487,14.887253277398692,1.0201953548956617,1.4277898255555506,Investigation
187.9,NAc,n5,3.865289942126472,Short_Term_1,5.057401847063168,145.37956560630482,11.443986552967194,144.11787547793554,8.31253703428203,122.60605154032487,14.791887392722957,0.2631594333174145,0.9475473135218175,Investigation
188.0,NAc,n5,3.996526354497784,Short_Term_1,5.0595973784192525,146.38292518337673,11.342841866573357,144.08719699554004,8.258665820239225,123.51410054336611,14.626942317413,0.5048536992064955,0.6633514680286384,Investigation
188.1,NAc,n5,4.636164776085167,Short_Term_1,5.165188817304424,148.3862889578019,11.227357668783709,144.67255524405888,8.181184956756386,125.71920316009175,14.448849359670296,1.1526832219263312,0.664325604885552,Investigation
188.2,NAc,n5,4.631294193251514,Short_Term_1,5.345743474025819,151.72718291450505,11.144603423847352,145.6729492754186,8.11997880808006,129.83641032031,14.3068375719532,1.77763396722242,0.8303797655466572,Investigation
188.3,NAc,n5,3.6887120282262726,Short_Term_1,5.59957751423758,155.34772991541954,11.059802372946839,147.52785403411852,8.03507701265801,134.34852499221353,14.164266764112323,2.3860939101505347,0.8270847512835832,Investigation
188.4,NAc,n5,2.7116274631064385,Short_Term_1,5.913389865529133,160.2075579832067,10.94412971331551,150.12925771970987,7.918673061405696,140.22849228126927,13.98094455749033,2.8535842322441862,0.9422682002465217,Investigation
188.5,NAc,n5,2.177945100736718,Short_Term_1,6.338067908393696,165.3772806690386,10.83470306436393,154.1140207621442,7.809141008042091,146.0579716002278,13.786861837826343,3.2042796080027935,1.3016949167980556,Investigation
188.6,NAc,n5,2.1991866340612574,Short_Term_1,6.854028743151342,167.34417849617017,10.685576009845521,157.67419095178167,7.739198549950724,149.45344099278032,13.552287944222366,3.545738871930675,1.7739726448545643,Investigation
188.7,NAc,n5,2.8144849680327373,Short_Term_1,7.483790583008307,169.42734225915427,10.528078595905404,161.60871520509852,7.715326593365911,153.05589987736516,13.270878966789128,3.854009412570105,2.434157194283231,Investigation
188.8,NAc,n5,3.2238154898272975,Short_Term_1,8.215773824500856,169.6715766271403,10.310641039670118,164.83171761467406,7.743656087003849,155.74276873627866,12.872246924914782,4.09098484181751,3.226428748027856,Investigation
188.9,NAc,n5,2.950033950228987,Short_Term_1,9.046342342848313,170.15870441785293,10.115661306244016,168.80776182560214,7.895567887362579,158.24750736799547,12.425577749959224,4.249526240173669,4.202668943497888,Investigation
189.0,NAc,n5,2.256182551513764,Short_Term_1,10.007367991644205,171.90221942285837,10.009690446141189,173.19019085959403,8.182503357671933,161.47856848425226,11.970397395149371,4.251195008861903,5.4160001534811695,Investigation
189.1,NAc,n5,1.8660041064974249,Short_Term_1,11.089468044388942,173.62187301784857,10.000103693650516,177.28898741281895,8.657056943323147,164.71872048099334,11.52232142140106,4.142222136298865,6.519657918662193,Investigation
189.2,NAc,n5,1.9906216120443367,Short_Term_1,12.233016107744753,175.70637666197237,10.080941903801799,178.18212535847022,9.294760164891953,167.65310296507272,11.112872287441773,3.924031910021838,7.271383429897708,Investigation
189.3,NAc,n5,2.465410868941035,Short_Term_1,13.374753891238552,179.97995737276256,10.274724305178486,172.98227255606662,10.0628867799294,171.85695308147865,10.790947274024091,3.5077456991220917,8.034793493211074,Investigation
189.4,NAc,n5,3.362552900419321,Short_Term_1,14.514391641934703,174.86478186508077,10.569182890981422,167.19048880747152,10.965620934242814,176.3227536602717,10.567445127977866,3.041504506756018,8.845474482455902,Investigation
189.5,NAc,n5,4.454946396884213,Short_Term_1,15.61740617904935,169.1848633031384,10.97412578382313,160.5756056322055,11.971850935613183,179.38698579125324,10.493235055119584,2.5759683288836093,9.598321336193466,Investigation
189.6,NAc,n5,4.639423561166772,Short_Term_1,16.675792916044053,160.7176505091387,11.46729533556142,151.29812909481666,13.021913147303382,174.68963106669779,10.560892074619938,2.2980808390364174,10.522781105804363,Investigation
189.7,NAc,n5,4.021256515412647,Short_Term_1,17.803959024914533,152.91870109866255,12.136713682510994,143.63346298729988,14.119822566737747,169.82754440358678,10.792703396105919,1.8027051298647523,11.408952336548277,Investigation
189.8,NAc,n5,3.6032665194543174,Short_Term_1,19.004904543986054,145.00668157632845,12.95857483500186,136.52367470803324,15.259072891472936,164.75563762769423,11.219140886500414,1.2732026202942375,12.158550777498457,Investigation
189.9,NAc,n5,3.571316959314583,Short_Term_1,20.22518452956208,136.4525189688926,13.830763044816791,130.2345244277376,16.44838031168584,158.1943658360444,11.804265084654293,1.743369347859511,12.75054418706601,Investigation
190.0,NAc,n5,3.8542564549832434,Short_Term_1,21.40689192219951,126.37746629422213,14.68495830740701,122.91128708698079,17.882591412175177,149.7739759625059,12.566081429217013,2.0152181092414443,12.85298981646126,Investigation
190.1,NAc,n5,4.44874828445333,Short_Term_1,22.491071441085488,114.51319131131072,15.519509288002876,116.04247601574787,19.2521201676621,139.45931282728313,13.431378455341425,1.5682555397533486,12.5468199147124,Investigation
190.2,NAc,n5,4.75300215071469,Short_Term_1,23.56666341097194,105.51774722880589,16.413561741369744,110.26952394808984,20.625249902749953,131.48163056113984,14.423094004019626,1.6813021220223885,11.745536933629557,Investigation
190.3,NAc,n5,4.411733152582182,Short_Term_1,24.517205377723325,97.27307410483087,17.30561032812549,103.90732661008781,21.91269843196803,124.70234927938458,15.49200645919084,2.347723040236624,10.49274028413596,Investigation
190.4,NAc,n5,3.7783580627621016,Short_Term_1,25.321502455174087,95.888456600614,18.145308496209697,99.6679567691508,23.078785515211457,123.09368401301393,16.584117167897368,2.605480193458643,9.245828196611852,Investigation
190.5,NAc,n5,3.2878797938293647,Short_Term_1,26.046754166297106,93.3513833069959,18.910586705355083,96.87721784775829,24.14587318902391,119.17754131770376,17.62402013946258,2.763328560875635,7.935535501080129,Investigation
190.6,NAc,n5,2.958320040975042,Short_Term_1,26.643571083779904,91.3668878818288,19.56765788071753,94.70594142444287,25.077726001279494,115.37102496261305,18.575429295846874,2.823642094297909,6.5872388847216525,Investigation
190.7,NAc,n5,2.7428882152850496,Short_Term_1,27.173275657924957,86.1296495571442,20.105691110561743,92.70115906699385,25.888880768900947,108.60386045222712,19.36793094183078,2.3087353270865556,5.287078547842716,Investigation
190.8,NAc,n5,2.9015414324314865,Short_Term_1,27.576432413798084,84.67507682284383,20.536901236523597,90.5729731292326,26.50801546128668,106.65528075113525,19.998458504244212,1.6345145574114828,4.134332252254128,Investigation
190.9,NAc,n5,4.272861710494855,Short_Term_1,27.87286159798027,82.50148527322534,20.859083263729413,88.75651146053195,27.006237814638745,104.21337918488486,20.513998675847276,1.336120678203012,3.186484494747397,Investigation
191.0,NAc,n5,6.11849636044731,Short_Term_1,28.077824647335024,79.57628973087179,21.094261288989088,87.46841351972301,27.420822844893564,100.4874653070974,20.948051104551073,1.1096188041152455,2.3184507764887283,Investigation
191.1,NAc,n5,6.681288234294135,Short_Term_1,28.193636467736546,73.53965812377999,21.224416523415343,85.52280371122373,27.752762398002947,93.6341926514556,21.277977736885493,0.9635437478686286,1.6098925404774664,Investigation
191.2,NAc,n5,6.598158962732021,Short_Term_1,28.233441397572925,67.15737992574196,21.262876430249182,83.26051467336276,27.99322692818251,86.50336635236724,21.4900912185326,0.7361534575743484,1.2520382733144715,Investigation
191.3,NAc,n5,6.9095463938145745,Short_Term_1,28.1919042488189,59.451865594354956,21.197668056826977,80.49617450002381,28.198537039942995,78.30090909377438,21.65572269864426,0.659035185931481,1.124029864257333,Investigation
191.4,NAc,n5,8.786560855474049,Short_Term_1,28.09436349353865,52.27079718984925,21.040574506737006,76.92125727248737,28.40135644322546,70.77255602078792,21.782130388050064,1.0642528477961655,0.9034424260768557,Investigation
191.5,NAc,n5,10.941523223961758,Short_Term_1,27.879510899357655,46.25179357755965,20.779507562992645,73.20426720367632,28.586936048060686,63.3917902131393,21.885416135866098,1.5689761163875577,0.7163992959977037,Investigation
191.6,NAc,n5,10.871795116128169,Short_Term_1,27.534519489866394,40.67263779682611,20.379073499772666,68.55122541834965,28.61886719337401,57.56576308218112,21.836331665012302,2.010515700455744,0.7795749540072326,Investigation
191.7,NAc,n5,10.291081559235186,Short_Term_1,27.125283107778255,36.96119308859707,19.947956347253786,63.77096310197817,28.57910643730073,53.7967299440088,21.751135115754813,2.3105381475628275,0.7347312343072455,Investigation
191.8,NAc,n5,11.392186882361873,Short_Term_1,26.701099089830944,35.03158534612871,19.52581556111613,59.94395632231266,28.49210599092343,51.52383676695342,21.645764748189485,2.365488669879562,0.569233132076013,Investigation
191.9,NAc,n5,12.219482315290588,Short_Term_1,26.292551609058453,34.088244678784264,19.122381609923828,57.06347698428377,28.360969601657324,50.40410041898818,21.51184103268561,2.1295928580983308,0.3779055528514822,Investigation
192.0,NAc,n5,12.120504549295148,Short_Term_1,25.988829451368403,34.45451230840425,18.8395359138595,54.50784304197805,28.19452664562489,51.89071756190384,21.370300290944066,1.748137957867743,0.6750784269956737,Investigation
192.1,NAc,n5,10.844323651696508,Short_Term_1,25.7623346999762,37.90717867337543,18.644750649845182,53.16514814614763,28.078210671212435,56.16963942108447,21.30473893699292,1.6658562050576837,0.9127228910160261,Investigation
192.2,NAc,n5,9.598706750660481,Short_Term_1,25.46327652737373,43.42662084810371,18.41981963736749,53.24157372689456,27.918611417237457,61.7947820385985,21.253375920169947,1.8464281247910255,1.1691695432381664,Investigation
192.3,NAc,n5,9.071495445711696,Short_Term_1,25.05625843747423,50.23868547527576,18.1375016129831,53.63258716045897,27.80511819147577,67.47311407939678,21.296415247458995,2.2336821113737897,1.5026159852827874,Investigation
192.4,NAc,n5,9.252866885169151,Short_Term_1,24.578804890242097,57.15308956084678,17.861797363682093,54.21651474628072,27.810068065337166,71.47921487524523,21.520680806720037,2.4665703448841425,1.6944681910552628,Investigation
192.5,NAc,n5,9.298136348312743,Short_Term_1,24.06810853355357,67.12131176066424,17.656717820893157,58.14214719357645,27.55964169915227,78.93005386471972,21.62539147592164,2.5853215457812952,1.9736058889648933,Investigation
192.6,NAc,n5,8.700864167756018,Short_Term_1,23.58190105872748,78.08273541835717,17.514400769540824,63.4074742249436,27.237769849507156,87.8718951911878,21.7147129227013,2.829593760701536,2.2285489267713703,Investigation
192.7,NAc,n5,8.148115918460256,Short_Term_1,23.109460934959458,88.86777610611466,17.429224165955343,69.7584508434744,26.872218481258024,97.28788241143197,21.817861486593895,3.392061737756269,2.2073732751314314,Investigation
192.8,NAc,n5,7.2510350002643,Short_Term_1,22.713669808554606,98.18040615518652,17.43089317436525,76.55028914389925,26.45960010687324,106.21615581717012,21.906157040394632,3.7273562285118884,2.0485881521843567,Investigation
192.9,NAc,n5,6.196157707411089,Short_Term_1,22.43700709237269,107.75224986157741,17.528690663596553,84.56794391168222,26.026167008116325,115.65904502799008,21.96891808303389,3.8128166211390297,1.899099945669131,Investigation
193.0,NAc,n5,5.487437892309577,Short_Term_1,22.240766908325092,118.59213901876274,17.71929406902356,95.03998189430195,25.539323531463285,125.12817296728535,22.00466519040347,3.532577996154708,1.8490138782779086,Investigation
193.1,NAc,n5,5.425187992065511,Short_Term_1,22.10505621574465,129.1162758090307,17.94837630669966,106.51309788313313,25.006024447924734,133.87080503376026,21.988369536377544,3.0922425181621045,1.7917578298827628,Investigation
193.2,NAc,n5,5.232054064295077,Short_Term_1,22.004111987103776,138.06664175563174,18.20605243923843,117.00806825418897,24.460492402002465,141.51490867806373,21.94614109216786,2.9798789423591283,1.5063517653976628,Investigation
193.3,NAc,n5,4.773477683030039,Short_Term_1,21.907345964553766,145.54027582700257,18.468377698423897,126.26747256383027,23.938477495068707,148.3007102074241,21.913530613345767,3.0256878872198123,1.1153406334853828,Investigation
193.4,NAc,n5,4.145906127735763,Short_Term_1,21.790880071118064,153.22688131449672,18.718655553086343,134.96410430511258,23.430146920955092,155.35149212262414,21.89941164394262,2.8335659889198057,0.7532820670545213,Investigation
193.5,NAc,n5,3.548179913398187,Short_Term_1,21.66639810861317,160.7994962875162,18.95649382781754,143.3889126144249,22.945367876441992,162.00066822753396,21.891276043193702,2.5591502048937507,0.3581860287218492,Investigation
193.6,NAc,n5,3.235579086582589,Short_Term_1,21.51633471112355,168.83109804996343,19.175077976743538,151.3747202973977,22.464509700332016,169.09649443398962,21.869813171793105,2.362755874750745,0.11869681882123256,Investigation
193.7,NAc,n5,3.2850394633296935,Short_Term_1,21.33976936879521,177.2999688988615,19.377577342865294,158.94262860807555,21.970291066003455,177.03076294931938,21.824191477804938,2.32436158660923,0.5482434330530459,Investigation
193.8,NAc,n5,3.693864718841866,Short_Term_1,21.10269453045453,172.8186426051841,19.59004577827451,167.1199647682564,21.44954658884583,174.00713930816573,21.760089187937787,2.2987725674334794,1.0512864844280483,Investigation
193.9,NAc,n5,3.789995457702457,Short_Term_1,20.90596441636447,161.86666177905508,19.88266000267655,176.55675371886872,20.928867164930207,164.27454755536155,21.696799692796272,2.3730741926407433,1.3203440047706385,Investigation
194.0,NAc,n5,3.963112316262523,Short_Term_1,20.851433057591322,151.82093791254465,20.24569981994001,173.6866773340836,20.329196872420805,154.4787972053511,21.498928123088398,2.4288232753485994,1.438804048825293,Investigation
194.1,NAc,n5,4.430339548850765,Short_Term_1,20.914000634533025,142.0673427419355,20.711818451076446,163.85444252131157,19.815189957810343,144.99711635277845,21.371448765964473,2.6985740583386444,1.4321152795448668,Investigation
194.2,NAc,n5,4.143795667451942,Short_Term_1,21.098877075158367,132.61863667865907,21.23099401996816,154.4711916406819,19.387422277748573,135.7757373241364,21.247782112931823,3.162644453216727,1.1449897742387802,Investigation
194.3,NAc,n5,3.4329588178764174,Short_Term_1,21.460457135688618,124.52738671580448,21.84965173229859,145.71888947340167,19.06972904638719,127.72263148791433,21.140610760243607,3.5930063100925342,0.7735385096545659,Investigation
194.4,NAc,n5,2.7491915271375498,Short_Term_1,21.92704951354506,118.11356092980166,22.494476549242385,138.961342695829,18.879227112880468,120.59961973224193,21.066246561024727,3.772750800145929,0.746477854779616,Investigation
194.5,NAc,n5,2.3624675118915857,Short_Term_1,22.40963351440922,113.64500064744419,23.042270007524678,133.3500981660077,18.822845785396744,116.33835188108162,21.015580323003686,3.773654285997113,1.1134943681791192,Investigation
194.6,NAc,n5,2.534793605400682,Short_Term_1,22.879489238411825,112.13273757523095,23.50467569696928,130.50018136277666,18.810604611788836,113.862929730541,20.94225461773164,3.7565941992806837,1.6160636289659396,Investigation
194.7,NAc,n5,2.787300790203006,Short_Term_1,23.37480040211006,112.71733272930896,23.93670222294956,129.3385546527647,18.89689387831574,113.33642922972979,20.921023942789006,3.7095900805700275,1.9760256788400472,Investigation
194.8,NAc,n5,2.861216646628679,Short_Term_1,23.868682049188873,113.57153413603282,24.304258578843903,129.20603729549694,19.090423424119802,113.23964316857325,20.942711808123548,3.7170417472604003,2.36516768158754,Investigation
194.9,NAc,n5,3.0710310743976788,Short_Term_1,24.404619477893952,115.91552525102932,24.62512992878578,130.29351100617527,19.40342090576197,115.22913344673964,21.012309753734417,3.747562118798369,2.962019706709845,Investigation
195.0,NAc,n5,3.501638512441883,Short_Term_1,24.995370037168833,122.6109528947112,24.876209150563664,133.76559857418027,19.846000000549687,120.69310058977698,21.08870373213253,3.7263669795707073,3.389844984397883,Investigation
195.1,NAc,n5,4.165219370802377,Short_Term_1,25.61083412624035,132.05712014442545,25.081311409552633,138.5122784445678,20.451160084879326,129.23453304328825,21.243483494803588,3.779556468966536,3.6687529414834685,Investigation
195.2,NAc,n5,4.526044448005269,Short_Term_1,26.2360604569835,144.31209346991469,25.228507731228454,145.23886732260192,21.191227077174045,139.73539691637222,21.459431795656858,3.6821792182353987,3.9712050511892176,Investigation
195.3,NAc,n5,4.245950095931884,Short_Term_1,26.850221131935147,161.81950906334532,25.29362036553405,154.11152729493986,22.10665571763758,155.29351328569544,21.772001071247445,3.162330890918567,4.261303994299716,Investigation
195.4,NAc,n5,3.688187784475276,Short_Term_1,27.362179154872184,175.89727342529653,25.207510894247072,166.48928039925264,23.113153513706436,174.08775992802458,22.114051042077516,2.462134977686705,4.442137412640987,Investigation
195.5,NAc,n5,3.133977650190141,Short_Term_1,27.69560814836155,150.28799882072758,24.95292562192592,175.33618223102155,24.09077667737546,168.03869293552663,22.44630852295305,1.8989133277066244,4.319880410306306,Investigation
195.6,NAc,n5,2.8526191238403786,Short_Term_1,27.82352030019267,124.30665965263103,24.576357471209366,153.32319920731675,24.998084999821163,152.02302681164355,22.792305962584816,2.110819798772847,3.9748268495806136,Investigation
195.7,NAc,n5,2.6874513071794173,Short_Term_1,27.67002881994961,101.44546608190171,23.98181194007088,132.25061924736474,25.752343123463003,135.9423917348076,23.058115992633255,3.6351826562491976,3.55308136547498,Investigation
195.8,NAc,n5,2.2705972416309965,Short_Term_1,27.217527151786605,82.69227507432981,23.155718192410724,112.9662652372404,26.262743009952057,119.44824838275478,23.176983527734937,5.546784491870358,2.8869838570119106,Investigation
195.9,NAc,n5,1.8176626682332406,Short_Term_1,26.457746029254327,71.83598314985755,22.15330723179902,100.36681083274925,26.46364115913323,104.80771186328367,23.137152400088382,7.070408175167149,2.1592327851877418,Investigation
196.0,NAc,n5,1.5758465925873264,Short_Term_1,25.496449828095127,69.34677661341885,21.08157241987862,94.22443596679483,26.403470084366933,95.63492110280305,22.990104963937604,8.109712701953345,1.6636731743631459,Investigation
196.1,NAc,n5,1.5334499719449504,Short_Term_1,24.351550767762063,73.27767299799359,19.992372263139114,91.29007677668227,26.12732746548679,93.98165538415824,22.795488596003786,8.969287723165257,1.6522471456385992,Investigation
196.2,NAc,n5,1.5427138905001814,Short_Term_1,22.98146571911832,80.5713286805086,18.90642453549733,90.0687447458053,25.563037799473797,97.51636171475054,22.528021679470616,9.602974286929278,1.823589539169411,Investigation
196.3,NAc,n5,1.2411252904714865,Short_Term_1,21.55596434284469,91.23370345005196,17.824583432241823,90.23174289660494,24.852220208022825,105.39387808954127,22.17030879472502,10.147207416982642,1.7266231966806398,Investigation
196.4,NAc,n5,1.1897032853645702,Short_Term_1,20.054322760411683,101.47898636634153,16.745819909958843,89.80731773464157,23.967822696122134,114.9283086983821,21.703701182375116,10.785011116541698,1.886319259707713,Investigation
196.5,NAc,n5,1.9253014119287826,Short_Term_1,18.468883820614604,112.24944328473418,15.669529214724626,92.12679488781066,22.965208411658125,124.5630665541002,21.22093733157689,11.32174426438483,2.2862148586351996,Investigation
196.6,NAc,n5,3.1652214842070987,Short_Term_1,16.86027626523891,118.36228319343786,14.57812982960205,94.04878986455066,21.83489532065764,130.951251740398,20.625152271041642,11.59446991209606,2.5847583490302317,Investigation
196.7,NAc,n5,3.8716602537566365,Short_Term_1,15.341067502207213,121.18024214131265,13.548362781639971,95.83739882730754,20.629049507737808,134.5513481732227,19.91477745254731,11.7402938322812,2.770320161708334,Investigation
196.8,NAc,n5,3.834152172217337,Short_Term_1,13.900939971407247,123.1777748575575,12.517137608353728,98.67793410267052,19.38729652465954,136.35241207968716,19.11551823723021,11.948783635465533,3.111792586962616,Investigation
196.9,NAc,n5,3.8860820943082204,Short_Term_1,12.485001174362734,121.27326023497801,11.519472187071127,100.34697702623635,18.07109377066763,135.3279638442673,18.26871163405994,11.91023543533045,3.5350529095619283,Investigation
197.0,NAc,n5,3.7114578483043803,Short_Term_1,11.2103247670923,118.92129104341609,10.587635990588355,101.91989436909557,16.78528621025767,133.84426810084264,17.41923764959833,11.510279303588986,4.019486927514851,Investigation
197.1,NAc,n5,3.198939211150439,Short_Term_1,10.048746283984705,115.6759294871224,9.682951916000357,102.4215457930502,15.50688892454555,131.62220000357058,16.50535390910739,10.90036410133301,4.758459748305133,Investigation
